no,stock,from,to,records
44,ASIAINS,2015-10-15 12:31:00,2024-01-31 14:19:00,131510
45,ASIAPACINS,2015-10-15 12:40:00,2024-01-31 14:25:00,96865
46,ATCSLGF,2015-10-15 11:18:00,2024-01-31 14:28:00,64244
47,ATLASBANG,2015-10-15 11:44:00,2024-01-31 14:11:00,61837
48,AZIZPIPES,2015-10-15 10:44:00,2024-01-31 14:29:00,128097
49,BANGAS,2015-10-15 10:34:00,2024-01-31 14:24:00,148738
50,BANKASIA,2015-10-15 10:50:00,2024-01-31 14:16:00,60698
51,BARKAPOWER,2015-10-15 10:34:00,2024-01-31 14:29:00,151968
52,BATASHOE,2015-10-15 12:22:00,2024-01-31 14:02:00,45373
53,BATBC,2015-10-15 11:58:00,2024-01-31 14:09:00,181264
54,BAYLEASING,2015-10-15 10:42:00,2024-01-31 14:29:00,106214
55,BBS,2015-10-15 10:34:00,2024-01-31 14:22:00,157767
56,BBSCABLES,2017-07-31 10:30:00,2024-01-31 14:25:00,164282
57,BDAUTOCA,2015-10-15 11:34:00,2024-01-31 14:19:00,129858
58,BDCOM,2015-10-15 11:00:00,2024-01-31 14:26:00,200992
59,BDFINANCE,2015-10-15 10:34:00,2024-01-31 14:29:00,145141
60,BDLAMPS,2015-10-15 10:56:00,2024-01-31 14:20:00,129905
61,BDPAINTS,2022-08-30 15:00:00,2024-01-31 14:19:00,9002
62,BDTHAI,2015-10-15 10:34:00,2024-01-31 14:29:00,193142
63,BDTHAIFOOD,2022-01-24 10:01:00,2024-01-31 14:23:00,56288
64,BDWELDING,2015-10-15 10:50:00,2024-01-31 14:19:00,103047
65,BEACHHATCH,2015-10-15 10:42:00,2024-01-31 14:29:00,123487
66,BEACONPHAR,2015-10-15 10:56:00,2024-01-31 14:29:00,149221
67,BENGALBISC,2022-08-30 15:00:00,2024-01-31 14:11:00,4180
68,BENGALWTL,2015-10-15 10:38:00,2024-01-31 14:25:00,129129
69,BERGERPBL,2015-10-15 10:42:00,2024-01-31 14:28:00,78627
70,BEXGSUKUK,2022-01-13 10:00:00,2024-01-31 14:23:00,8841
71,BEXIMCO,2015-10-15 10:34:00,2024-01-31 12:52:00,268938
72,BGIC,2015-10-15 10:34:00,2024-01-31 14:12:00,84889
73,BIFC,2015-10-15 10:40:00,2024-01-31 14:27:00,24601
74,BNICL,2016-04-21 10:32:00,2024-01-31 14:25:00,138386
75,BPML,2018-07-02 10:50:00,2024-01-31 14:27:00,165460
76,BPPL,2021-07-15 10:01:00,2024-01-31 14:28:00,57682
77,BRACBANK,2015-10-15 10:36:00,2024-01-31 14:29:00,180268
78,BSC,2015-10-15 10:42:00,2024-01-31 14:28:00,266740
79,BSCCL,2015-10-15 10:36:00,2024-01-31 14:28:00,187550
80,BSRMLTD,2015-10-15 10:38:00,2024-01-31 14:12:00,128844
81,BSRMSTEEL,2015-10-15 10:44:00,2024-01-31 14:19:00,100120
82,BXPHARMA,2015-10-15 10:34:00,2024-01-31 14:22:00,208705
83,BXSYNTH,,,0
84,CAPITECGBF,2023-10-17 10:00:00,2024-01-31 14:23:00,10431
85,CAPMBDBLMF,2017-01-12 10:33:00,2024-01-31 14:20:00,47657
86,CAPMIBBLMF,2018-03-05 10:38:00,2024-01-31 14:29:00,75963
87,CBLPBOND,,,0
88,CENTRALINS,2015-10-15 12:54:00,2024-01-31 14:25:00,75415
89,CENTRALPHL,2015-10-15 10:42:00,2024-01-31 14:29:00,188795
90,CITYBANK,2015-10-15 10:34:00,2024-01-31 14:29:00,181953
91,CITYGENINS,2015-10-15 12:40:00,2024-01-31 14:22:00,137441
92,CLICL,2022-10-30 11:00:00,2024-01-31 14:24:00,41247
93,CNATEX,2015-10-15 10:34:00,2024-01-31 14:27:00,123154
94,CONFIDCEM,2015-10-15 10:42:00,2024-01-31 14:28:00,147442
95,CONTININS,2015-10-15 11:40:00,2024-01-31 14:26:00,131949
