no,stock,from,to,records
363,SINOBANGLA,2015-10-15 10:34:00,2024-01-31 14:26:00,184340
364,SKICL,2021-11-07 10:00:00,2024-01-31 14:29:00,85248
365,SKTRIMS,2018-07-15 11:12:00,2024-01-31 14:27:00,107739
366,SONALIANSH,2015-10-15 11:06:00,2024-01-31 14:20:00,169128
367,SONALILIFE,2021-06-30 10:00:00,2024-01-31 14:22:00,87455
368,SONALIPAPR,2020-07-26 10:30:00,2024-01-31 14:29:00,80716
369,SONARBAINS,2015-10-15 11:32:00,2024-01-31 14:20:00,135893
370,SONARGAON,2015-10-15 11:50:00,2024-01-31 14:29:00,86451
371,SOUTHEASTB,2015-10-15 10:44:00,2024-01-31 14:25:00,116158
372,SPCERAMICS,2015-10-15 10:34:00,2024-01-31 14:29:00,151153
373,SPCL,2015-10-15 10:42:00,2024-01-31 12:34:00,154995
374,SQUARETEXT,2015-10-15 10:46:00,2024-01-31 14:23:00,74720
375,SQURPHARMA,2015-10-15 10:34:00,2024-01-31 14:29:00,277104
376,SSSTEEL,2019-01-17 10:30:00,2024-01-31 14:27:00,140459
377,STANCERAM,2015-10-15 11:18:00,2024-01-31 14:27:00,98615
378,STANDARINS,2015-10-15 13:09:00,2024-01-31 14:29:00,91594
379,STANDBANKL,2015-10-15 10:58:00,2024-01-31 14:19:00,90483
380,STYLECRAFT,2015-10-15 13:17:00,2024-01-31 14:29:00,149647
381,SUMITPOWER,2015-10-15 10:36:00,2024-01-31 14:24:00,177318
382,SUNLIFEINS,2015-10-15 10:42:00,2024-01-31 14:28:00,75231
383,TAKAFULINS,2015-10-15 12:06:00,2024-01-31 14:18:00,65510
384,TALLUSPIN,2015-10-15 10:36:00,2024-01-31 14:20:00,66729
385,TAMIJTEX,2021-06-13 12:24:00,2024-01-31 14:19:00,39410
386,TILIL,2023-05-11 10:00:00,2024-01-31 14:26:00,28986
387,TITASGAS,2015-10-15 10:36:00,2024-01-31 14:25:00,135807
388,TOSRIFA,2015-10-15 10:34:00,2024-01-31 14:22:00,116493
389,TRUSTB1MF,2015-10-15 10:52:00,2024-01-31 14:23:00,76219
390,TRUSTBANK,2015-10-15 10:34:00,2024-01-31 14:17:00,73643
391,TUNGHAI,2015-10-15 11:00:00,2024-01-31 14:27:00,77184
392,UCB,2015-12-03 10:44:00,2024-01-31 14:28:00,112885
393,UNILEVERCL,2015-10-15 11:18:00,2024-01-31 14:28:00,61022
394,UNIONBANK,2022-01-26 10:00:00,2024-01-31 14:27:00,38973
395,UNIONCAP,2015-10-15 10:52:00,2024-01-31 14:27:00,123124
396,UNIONINS,2022-01-16 10:00:00,2024-01-31 14:28:00,81330
397,UNIQUEHRL,2015-10-15 10:36:00,2024-01-31 14:29:00,168604
398,UNITEDFIN,2015-10-15 11:46:00,2024-01-31 14:20:00,112621
399,UNITEDINS,2015-10-15 12:28:00,2024-01-31 14:22:00,60619
400,UPGDCL,2015-10-15 10:34:00,2024-01-31 14:25:00,180436
401,USMANIAGL,2015-10-15 11:22:00,2024-01-31 14:05:00,85612
402,UTTARABANK,2015-10-15 10:46:00,2024-01-31 14:29:00,137842
403,UTTARAFIN,2015-10-15 10:40:00,2024-01-31 14:19:00,64265
404,VAMLBDMF1,2016-01-17 10:35:00,2024-01-31 14:20:00,27191
405,VAMLRBBF,2016-12-05 10:33:00,2024-01-31 14:25:00,27221
406,VFSTDL,2018-09-09 10:55:00,2024-01-31 14:29:00,99517
407,WALTONHIL,2020-09-23 10:01:00,2024-01-31 14:27:00,71025
408,WATACHEM,2015-10-15 11:08:00,2024-01-31 14:20:00,123352
409,WMSHIPYARD,2015-10-15 10:42:00,2024-01-31 14:28:00,179417
410,WONDERTOYS,2022-08-30 15:00:00,2024-01-31 14:17:00,6461
411,YPL,2016-09-22 10:33:00,2024-01-31 14:27:00,152382
412,YUSUFLOUR,2022-09-08 09:44:00,2024-01-31 12:19:00,501
413,ZAHEENSPIN,2015-10-15 10:44:00,2024-01-31 14:29:00,121299
414,ZAHINTEX,2015-10-15 10:34:00,2024-01-31 14:18:00,72806
415,ZEALBANGLA,2015-10-15 12:56:00,2024-01-31 14:05:00,36467
