timestamp,closing,opening,high,low,volume
2015-10-15 12:56:00,6.4,6.4,6.4,6.4,100
2015-10-18 11:44:00,5.8,5.8,5.8,5.8,15
2015-10-18 13:33:00,6.3,6.3,6.3,6.3,1000
2015-10-19 11:23:00,6.3,6.3,6.3,6.3,3390
2015-10-19 11:51:00,6.4,6.4,6.4,6.4,1400
2015-10-19 12:13:00,6.4,6.4,6.4,6.4,500
2015-10-19 12:15:00,6.3,6.3,6.3,6.3,500
2015-10-19 13:53:00,6.7,6.7,6.7,6.7,10
2015-10-19 14:03:00,6.7,6.7,6.7,6.7,150
2015-10-19 14:31:00,6.7,6.7,6.7,6.7,190
2015-10-20 12:19:00,7,7,7,7,10
2015-10-20 12:29:00,6.5,6.5,6.5,6.5,10
2015-10-20 12:55:00,7,7,7,7,320
2015-10-20 12:57:00,7,7,7,7,680
2015-10-21 14:09:00,7,7,7,7,4700
2015-10-21 14:29:00,7.5,7.5,7.5,7.5,1000
2015-11-01 13:30:00,8.4,7.5,8.4,7.5,5710
2015-11-01 14:02:00,8.4,8.4,8.4,8.4,10
2015-11-03 12:18:00,7.7,7.7,7.7,7.7,90
2015-11-03 12:20:00,7.7,7.7,7.7,7.7,90
2015-11-03 12:25:00,7.7,7.7,7.7,7.7,180
2015-11-03 12:28:00,7.7,7.7,7.7,7.7,20
2015-11-03 12:39:00,7.7,7.7,7.7,7.7,200
2015-11-03 12:43:00,7.6,7.6,7.6,7.6,500
2015-11-03 12:44:00,7.6,7.6,7.6,7.6,300
2015-11-03 13:05:00,7.6,7.6,7.6,7.6,100
2015-11-03 13:42:00,7.6,7.6,7.6,7.6,101
2015-11-03 13:44:00,7.6,7.6,7.6,7.6,5000
2015-11-03 13:46:00,7.6,7.6,7.6,7.6,1000
2015-11-03 14:10:00,7.6,7.6,7.6,7.6,7201
2015-11-04 11:30:00,7,7,7,7,10
2015-11-04 11:40:00,7,7,7,7,390
2015-11-04 11:42:00,7,7,7,7,300
2015-11-04 11:44:00,6.9,6.9,6.9,6.9,300
2015-11-04 12:26:00,7,7,7,7,5
2015-11-04 12:35:00,7,7,7,7,470
2015-11-04 12:39:00,6.9,6.9,6.9,6.9,759
2015-11-04 12:52:00,7,7,7,7,2535
2015-11-12 12:53:00,6.9,6.9,6.9,6.9,5
2015-11-12 13:16:00,6.9,6.9,6.9,6.9,10
2015-11-12 13:22:00,6.9,6.9,6.9,6.9,20
2015-11-12 14:08:00,6.8,6.8,6.8,6.8,999
2015-11-12 14:17:00,6.7,6.7,6.7,6.7,823
2015-11-22 14:25:00,6.8,6.8,6.8,6.8,1200
2015-11-22 14:33:00,7,7,7,7,98
2015-11-22 14:53:00,7,7,7,7,2
2015-11-22 15:37:00,6.9,6.9,6.9,6.9,200
2015-11-22 21:09:00,6.9,6.9,6.9,6.9,1500
2015-11-23 00:53:00,6.9,6.9,6.9,6.9,1500
2015-11-23 14:15:00,6.8,6.8,6.8,6.8,200
2015-11-24 12:11:00,6.6,6.6,6.6,6.6,1
2015-11-24 13:35:00,6.7,6.7,6.7,6.7,100
2015-11-24 14:21:00,6.8,6.8,6.8,6.8,50
2015-11-25 13:19:00,6.8,6.8,6.8,6.8,98
2015-11-25 14:11:00,6.9,6.9,6.9,6.9,591
2015-11-26 12:07:00,7,7,7,7,100
2015-12-01 13:28:00,6.7,6.7,6.7,6.7,935
2015-12-01 13:50:00,6.7,6.7,6.7,6.7,935
2015-12-01 14:02:00,6.7,6.7,6.7,6.7,935
2015-12-01 14:05:00,6.7,6.7,6.7,6.7,935
2015-12-01 14:07:00,6.7,6.7,6.7,6.7,935
2015-12-01 14:14:00,7,7,7,7,1408
2015-12-01 14:17:00,7,7,7,7,1408
2015-12-01 14:18:00,7,7,7,7,1408
2015-12-01 14:20:00,7,7,7,7,1408
2015-12-01 14:21:00,7,7,7,7,1408
2015-12-01 14:23:00,7,7,7,7,1408
2015-12-02 14:24:00,6.6,6.6,6.6,6.6,1025
2015-12-03 11:48:00,6.5,6.5,6.5,6.5,2500
2015-12-03 12:00:00,6.8,6.8,6.8,6.8,6500
2015-12-03 12:02:00,6.8,6.8,6.8,6.8,500
2015-12-03 14:24:00,6.6,6.6,6.6,6.6,1600
2015-12-04 10:33:00,6.6,6.6,6.6,6.6,11100
2015-12-04 14:27:00,6.6,6.6,6.6,6.6,11100
2015-12-05 10:50:00,6.6,6.6,6.6,6.6,11100
2015-12-05 10:54:00,6.6,6.6,6.6,6.6,11100
2015-12-05 11:08:00,6.6,6.6,6.6,6.6,11100
2015-12-05 11:22:00,6.6,6.6,6.6,6.6,11100
2015-12-05 11:28:00,6.6,6.6,6.6,6.6,11100
2015-12-06 11:04:00,6.5,6.5,6.5,6.5,50
2015-12-06 11:48:00,6.7,6.7,6.7,6.7,385
2015-12-06 13:14:00,6.8,6.8,6.8,6.8,50
2015-12-08 12:12:00,6.5,6.5,6.5,6.5,2000
2015-12-08 12:26:00,6.2,6.2,6.2,6.2,10
2015-12-08 14:10:00,6.4,6.4,6.4,6.4,100
2015-12-09 13:38:00,6.6,6.6,6.6,6.6,1000
2015-12-10 12:30:00,6.4,6.4,6.4,6.4,100
2015-12-15 14:13:00,5.8,5.8,5.8,5.8,10
2015-12-15 14:16:00,6.3,6.3,6.3,6.3,101
2015-12-17 11:59:00,6.2,6.2,6.2,6.2,1000
2015-12-17 13:44:00,6.3,6.3,6.3,6.3,1000
2015-12-19 10:33:00,6.3,6.3,6.3,6.3,2000
2015-12-19 13:50:00,6.3,6.3,6.3,6.3,2000
2015-12-20 13:32:00,6.4,6.4,6.4,6.4,600
2015-12-21 11:11:00,6.1,6.1,6.1,6.1,6500
2015-12-21 12:13:00,6.2,6.2,6.2,6.2,1000
2015-12-22 11:35:00,6.2,6.2,6.2,6.2,92
2015-12-22 13:43:00,6.4,6.4,6.4,6.4,1000
2015-12-22 13:45:00,6.4,6.4,6.4,6.4,408
2015-12-22 13:53:00,6.5,6.5,6.5,6.5,221
2015-12-22 14:01:00,6.5,6.5,6.5,6.5,500
2015-12-23 14:17:00,6.5,6.5,6.5,6.5,40
2015-12-24 11:03:00,6.5,6.5,6.5,6.5,50
2015-12-24 11:15:00,6.8,6.8,6.8,6.8,25
2015-12-27 11:43:00,6,6,6,6,450
2015-12-27 12:37:00,6.6,6.6,6.6,6.6,500
2015-12-28 14:27:00,6.3,6.3,6.3,6.3,200
2015-12-29 14:17:00,6.2,6.2,6.2,6.2,450
2015-12-29 14:21:00,6.2,6.2,6.2,6.2,100
2015-12-30 14:26:00,6.4,6.4,6.4,6.4,1000
2015-12-31 14:14:00,6.6,6.6,6.6,6.6,100
2015-12-31 14:24:00,6.3,6.3,6.3,6.3,10
2016-01-05 11:06:00,6.7,6.7,6.7,6.7,374
2016-01-05 11:56:00,6.7,6.7,6.7,6.7,176
2016-01-05 12:44:00,6.5,6.5,6.5,6.5,2000
2016-01-05 12:54:00,6.5,6.5,6.5,6.5,2000
2016-01-05 13:12:00,6.4,6.4,6.4,6.4,50
2016-01-05 13:24:00,6.4,6.4,6.4,6.4,50
2016-01-05 13:42:00,6.5,6.5,6.5,6.5,500
2016-01-05 14:16:00,6.5,6.5,6.5,6.5,400
2016-01-05 14:28:00,6.5,6.5,6.5,6.5,6100
2016-01-06 13:26:00,6.4,6.4,6.4,6.4,730
2016-01-06 13:36:00,6.6,6.6,6.6,6.6,500
2016-01-06 13:56:00,6.2,6.2,6.2,6.2,2370
2016-01-06 13:58:00,6,6,6,6,2130
2016-01-07 14:30:00,6.6,6.6,6.6,6.6,60
2016-01-10 13:58:00,6.5,6.5,6.5,6.5,382
2016-01-11 12:41:00,6.1,6.1,6.1,6.1,150
2016-01-11 13:37:00,6.5,6.5,6.5,6.5,749
2016-01-12 11:51:00,6.3,6.3,6.3,6.3,35
2016-01-12 12:53:00,6.5,6.5,6.5,6.5,100
2016-01-12 12:55:00,6.4,6.4,6.4,6.4,100
2016-01-12 14:03:00,6.6,6.6,6.6,6.6,500
2016-01-12 14:11:00,6.4,6.4,6.4,6.4,3000
2016-01-13 12:03:00,6.5,6.5,6.5,6.5,500
2016-01-13 12:11:00,6.6,6.6,6.6,6.6,2000
2016-01-13 12:57:00,6.6,6.6,6.6,6.6,2000
2016-01-13 13:05:00,6.6,6.6,6.6,6.6,480
2016-01-13 13:29:00,6.7,6.7,6.7,6.7,64
2016-01-13 13:47:00,6.6,6.6,6.6,6.6,520
2016-01-13 14:01:00,6.7,6.7,6.7,6.7,400
2016-01-13 14:03:00,6.7,6.7,6.7,6.7,41
2016-01-13 14:07:00,6.7,6.7,6.7,6.7,250
2016-01-13 14:09:00,6.8,6.8,6.8,6.8,1000
2016-01-14 13:09:00,6.6,6.6,6.6,6.6,200
2016-01-16 10:51:00,6.6,6.6,6.6,6.6,200
2016-01-18 13:10:00,6.5,6.5,6.5,6.5,2000
2016-01-18 13:20:00,6.6,6.6,6.6,6.6,250
2016-01-19 12:34:00,6.4,6.4,6.4,6.4,1000
2016-01-20 12:06:00,6.4,6.4,6.4,6.4,1000
2016-01-20 12:24:00,6.4,6.4,6.4,6.4,1000
2016-01-20 12:52:00,6.4,6.4,6.4,6.4,400
2016-01-20 13:44:00,6.3,6.3,6.3,6.3,1000
2016-01-20 13:58:00,6.3,6.3,6.3,6.3,100
2016-01-21 13:44:00,6.4,6.4,6.4,6.4,350
2016-01-21 14:12:00,6.6,6.6,6.6,6.6,3550
2016-01-22 10:32:00,6.6,6.6,6.6,6.6,3900
2016-01-24 11:15:00,6.5,6.5,6.5,6.5,350
2016-01-24 12:17:00,6.5,6.5,6.5,6.5,300
2016-01-24 13:46:00,6.6,6.6,6.6,6.6,83
2016-01-24 13:50:00,6.6,6.6,6.6,6.6,917
2016-01-24 14:27:00,6.6,6.6,6.6,6.6,1600
2016-01-25 11:07:00,6.6,6.6,6.6,6.6,483
2016-01-25 11:17:00,6.6,6.6,6.6,6.6,483
2016-01-25 11:21:00,6.6,6.6,6.6,6.6,483
2016-01-25 11:27:00,6.6,6.6,6.6,6.6,483
2016-01-25 11:29:00,6.6,6.6,6.6,6.6,483
